===============================================================
Date        : Wed May 13 10:49:42 AM -03 2026
SubmitHost  : cei2
SubmitDir   : /home/users/matregnago/intro_hpc
JobID       : 782087
Node(s)     : cei2
===============================================================
[11:45:56] 0037_parsec_lfq_dgeqrf_n12000_b480_rep1
[11:46:02] 0038_parsec_gd_dpotrf_n28800_b480_rep1
[11:46:15] 0039_parsec_gd_dgeqrf_n24000_b480_rep1
[11:46:58] 0040_parsec_lfq_dgeqrf_n28800_b480_rep1
[11:48:12] 0041_parsec_lfq_dpotrf_n16800_b480_rep1
[11:48:15] 0044_parsec_gd_dgeqrf_n21600_b480_rep1
[11:48:46] 0049_parsec_lfq_dpotrf_n7200_b480_rep1
[11:48:46] 0050_parsec_lfq_dpotrf_n28800_b480_rep1
[11:49:00] 0051_parsec_gd_dgeqrf_n26400_b480_rep1
[11:49:56] 0052_parsec_lfq_dgeqrf_n21600_b480_rep1
[11:50:29] 0053_parsec_lfq_dgeqrf_n16800_b480_rep1
[11:50:44] 0055_parsec_lfq_dpotrf_n21600_b480_rep1
[11:50:50] 0056_parsec_lfq_dgeqrf_n14400_b480_rep1
[11:50:59] 0057_parsec_gd_dgeqrf_n19200_b480_rep1
[11:51:22] 0062_parsec_lfq_dgeqrf_n19200_b480_rep1
[11:51:44] 0063_parsec_gd_dpotrf_n14400_b480_rep1
[11:51:46] 0064_parsec_gd_dpotrf_n24000_b480_rep1
[11:51:54] 0066_parsec_gd_dgeqrf_n28800_b480_rep1
[11:53:07] 0067_parsec_gd_dpotrf_n21600_b480_rep1
[11:53:13] 0069_parsec_gd_dgeqrf_n7200_b480_rep1
[11:53:14] 0070_parsec_lfq_dpotrf_n2400_b480_rep1
[11:53:16] 0074_parsec_lfq_dpotrf_n26400_b480_rep1
[11:53:26] 0075_parsec_gd_dgeqrf_n16800_b480_rep1
[11:53:41] 0076_parsec_lfq_dpotrf_n12000_b480_rep1
[11:53:42] 0080_parsec_gd_dpotrf_n7200_b480_rep1
[11:53:42] 0082_parsec_gd_dgeqrf_n14400_b480_rep1
[11:53:52] 0084_parsec_lfq_dgeqrf_n2400_b480_rep1
[11:53:52] 0087_parsec_lfq_dgeqrf_n4800_b480_rep1
[11:53:53] 0088_parsec_lfq_dpotrf_n19200_b480_rep1
[11:53:57] 0095_parsec_gd_dpotrf_n4800_b480_rep1
[11:53:57] 0097_parsec_gd_dgeqrf_n4800_b480_rep2
[11:53:58] 0100_parsec_lfq_dpotrf_n7200_b480_rep2
[11:53:58] 0101_parsec_gd_dgeqrf_n24000_b480_rep2
[11:54:41] 0102_parsec_gd_dgeqrf_n16800_b480_rep2
